path,ext,size_mb,mtime
F:\models\deployment\impressioncore_b2\models\b2_fixed_epoch_2.pth,.pth,315.52,1752014765.4652457
F:\models\deployment\impressioncore_b2\models\b2_teacher_model.pth,.pth,315.52,1752014765.4652457
F:\models\deployment\impressioncore_b2\src\training\checkpoints\best_model.pt,.pt,78.89,1740597705.9062006
F:\models\deployment\impressioncore_b2\src\training\checkpoints\final_model.pt,.pt,78.89,1740597802.87747
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1\best_model.pt,.pt,0.39,1749663609.080704
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1\checkpoint_epoch_10.pt,.pt,0.39,1749663609.1136906
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122614\best_model.pt,.pt,0.39,1749659207.7094305
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122614\checkpoint_epoch_10.pt,.pt,1.17,1749659208.5994866
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122855\best_model.pt,.pt,0.39,1749659338.8917468
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122855\checkpoint_epoch_10.pt,.pt,1.17,1749659345.8839927
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_123627\best_model.pt,.pt,0.39,1749659791.3280802
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_123627\checkpoint_epoch_2.pt,.pt,0.39,1749659791.3280802
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_124704\best_model.pt,.pt,0.39,1749660465.6663313
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_124704\checkpoint_epoch_50.pt,.pt,1.17,1749660466.6017513
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130118\best_model.pt,.pt,0.39,1749661290.515031
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130118\checkpoint_epoch_10.pt,.pt,1.17,1749661290.5124233
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130232\best_model.pt,.pt,0.39,1749661357.0527954
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130232\checkpoint_epoch_2.pt,.pt,1.17,1749661358.1055305
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130543\best_model.pt,.pt,0.39,1749661546.7511094
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_131721\best_model.pt,.pt,0.39,1749662244.2220638
F:\models\deployment\impressioncore_b2\src\training\models\best_model.pt,.pt,0.0,1740681197.489321
F:\models\deployment\impressioncore_b2\src\training\models\small\best_model.pt,.pt,334.32,1743972591.0040965
F:\models\deployment\impressioncore_b2\src\training\models\small\final_model.pt,.pt,334.32,1743972592.1106467
F:\models\deployment\impressioncore_b2\src\training\models\trained\final_model.pt,.pt,154.5,1744038523.0120156
F:\models\deployment\impressioncore_b2\src\training\models\trained_document_model\final_model.pt,.pt,153.8,1744040993.1998055
F:\models\deployment\impressioncore_b2\src\training\ultra_light_checkpoints\checkpoint_epoch_0.pth,.pth,150.88,1752011243.6045735
F:\models\deployment\impressioncore_b2_production_20250709_145132\checkpoints\b2_fixed\b2_fixed_epoch_0.pth,.pth,315.52,1752014549.5179973
F:\models\deployment\impressioncore_b2_production_20250709_145132\checkpoints\b2_fixed\b2_fixed_epoch_1.pth,.pth,315.52,1752014657.3856606
F:\models\deployment\impressioncore_b2_production_20250709_145132\checkpoints\b2_fixed\b2_fixed_epoch_2.pth,.pth,315.52,1752014765.4652457
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\models\b2_fixed_epoch_0.pth,.pth,315.52,1752014549.5179973
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\models\b2_fixed_epoch_1.pth,.pth,315.52,1752014657.3856606
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\models\b2_fixed_epoch_2.pth,.pth,315.52,1752014765.4652457
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\models\b2_teacher_model.pth,.pth,315.52,1752014765.4652457
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\best_model.pt,.pt,78.89,1740597705.9062006
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\final_model.pt,.pt,78.89,1740597802.87747
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1\best_model.pt,.pt,0.39,1749663609.080704
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1\checkpoint_epoch_10.pt,.pt,0.39,1749663609.1136906
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122614\best_model.pt,.pt,0.39,1749659207.7094305
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122614\checkpoint_epoch_10.pt,.pt,1.17,1749659208.5994866
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122855\best_model.pt,.pt,0.39,1749659338.8917468
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122855\checkpoint_epoch_10.pt,.pt,1.17,1749659345.8839927
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_123627\best_model.pt,.pt,0.39,1749659791.3280802
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_123627\checkpoint_epoch_2.pt,.pt,0.39,1749659791.3280802
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_124704\best_model.pt,.pt,0.39,1749660465.6663313
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_124704\checkpoint_epoch_50.pt,.pt,1.17,1749660466.6017513
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130118\best_model.pt,.pt,0.39,1749661290.515031
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130118\checkpoint_epoch_10.pt,.pt,1.17,1749661290.5124233
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130232\best_model.pt,.pt,0.39,1749661357.0527954
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130232\checkpoint_epoch_2.pt,.pt,1.17,1749661358.1055305
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_130543\best_model.pt,.pt,0.39,1749661546.7511094
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_131721\best_model.pt,.pt,0.39,1749662244.2220638
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\models\best_model.pt,.pt,0.0,1740681197.489321
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\models\small\best_model.pt,.pt,334.32,1743972591.0040965
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\models\small\final_model.pt,.pt,334.32,1743972592.1106467
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\models\trained\final_model.pt,.pt,154.5,1744038523.0120156
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\models\trained_document_model\final_model.pt,.pt,153.8,1744040993.1998055
F:\models\deployment\impressioncore_b2_production_20250709_145132\impressioncore_b2\src\training\ultra_light_checkpoints\checkpoint_epoch_0.pth,.pth,150.88,1752011243.6045735
F:\models\output\training_metrics\checkpoint-2000\model.pt,.pt,116.52,1749235155.9005086
F:\models\production\b3_best_quality_model_20250802_124801.pth,.pth,199.83,1754153293.5623517
F:\models\production\impressioncore_b1_distilled_v12.30\model.pt,.pt,588.76,1751177392.5338151
F:\models\production\impressioncore_b1_distilled_v12.30\model_production.pt,.pt,196.59,1751198413.532108
